threads,batch_size,input_file,total_misses,mean_misses
1,4,few_wires.txt,2327669,2327669
2,4,few_wires.txt,2631860,1315930
4,4,few_wires.txt,3743864,935966
8,4,few_wires.txt,6533125,816640
1,4,medium_wires.txt,2255625,2255625
2,4,medium_wires.txt,2622615,1311307
4,4,medium_wires.txt,3863917,965979
8,4,medium_wires.txt,6476909,809613
1,4,abundant_wires.txt,2257214,2257214
2,4,abundant_wires.txt,2636560,1318280
4,4,abundant_wires.txt,3720839,930209
8,4,abundant_wires.txt,6695790,836973
1,16,few_wires.txt,2252351,2252351
2,16,few_wires.txt,2608558,1304279
4,16,few_wires.txt,3636467,909116
8,16,few_wires.txt,6787002,848375
1,16,medium_wires.txt,2255684,2255684
2,16,medium_wires.txt,2625454,1312727
4,16,medium_wires.txt,3675347,918836
8,16,medium_wires.txt,6898850,862356
1,16,abundant_wires.txt,2246837,2246837
2,16,abundant_wires.txt,2632914,1316457
4,16,abundant_wires.txt,3790645,947661
8,16,abundant_wires.txt,6569970,821246
